REF_AREA_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,TIME_PERIOD,OBS_VALUE
Albania,Total,15 to 29 years old,Total,2020,99.4979019165039
Albania,Male,All age ranges or no breakdown by age,Total,2020,79.65440368652344
Albania,Total,60 years old and over,Total,2018,75.26861572265625
Albania,Male,All age ranges or no breakdown by age,Total,2018,77.26959228515625
Albania,Total,All age ranges or no breakdown by age,Total,2018,76.53575897216797
Albania,Total,15 to 29 years old,Total,2018,98.44678497314452
Albania,Female,All age ranges or no breakdown by age,Total,2018,75.78456115722656
Albania,Total,30 to 59 years old,Total,2018,97.27352142333984
Albania,Total,All age ranges or no breakdown by age,Total,2020,78.66586303710938
Albania,Total,30 to 59 years old,Total,2020,98.82536315917967
Albania,Female,All age ranges or no breakdown by age,Total,2020,77.68402862548828
Albania,Total,25 years old and over,Total,2018,90.5635986328125
Albania,Total,15 to 24 years old,Total,2020,99.60205841064452
Albania,Total,25 years old and over,Total,2020,92.8421859741211
Albania,Total,15 to 24 years old,Total,2018,98.77352905273438
Albania,Total,60 years old and over,Total,2020,80.52619171142578
Angola,Total,30 to 59 years old,Total,2018,48.64976119995117
Angola,Total,All age ranges or no breakdown by age,Urban area,2018,48.12826919555664
Angola,Total,25 years old and over,Total,2018,48.4918327331543
Angola,Female,All age ranges or no breakdown by age,Total,2018,30.538236618041992
Angola,Total,All age ranges or no breakdown by age,Total,2018,35.48309326171875
Angola,Total,15 to 24 years old,Total,2018,69.98311614990234
Angola,Total,15 to 29 years old,Total,2018,69.03185272216797
Angola,Male,All age ranges or no breakdown by age,Total,2018,40.85115051269531
Angola,Total,60 years old and over,Total,2018,15.508219718933104
Angola,Total,All age ranges or no breakdown by age,Rural area,2018,15.172322273254396
"Egypt, Arab Rep.",Total,60 years old and over,Total,2019,36.345584869384766
"Egypt, Arab Rep.",Total,All age ranges or no breakdown by age,Urban area,2017,67.60767364501953
"Egypt, Arab Rep.",Total,All age ranges or no breakdown by age,Rural area,2017,54.02970123291016
"Egypt, Arab Rep.",Total,All age ranges or no breakdown by age,Total,2017,59.92151641845703
"Egypt, Arab Rep.",Total,25 years old and over,Total,2017,62.03522109985352
"Egypt, Arab Rep.",Total,30 to 59 years old,Total,2019,68.9000015258789
"Egypt, Arab Rep.",Total,All age ranges or no breakdown by age,Total,2019,61.83407211303711
"Egypt, Arab Rep.",Total,All age ranges or no breakdown by age,Rural area,2019,57.20170593261719
"Egypt, Arab Rep.",Total,15 to 24 years old,Total,2019,92.29741668701172
"Egypt, Arab Rep.",Total,30 to 59 years old,Total,2017,65.51615905761719
"Egypt, Arab Rep.",Female,All age ranges or no breakdown by age,Total,2019,58.23401641845703
"Egypt, Arab Rep.",Male,All age ranges or no breakdown by age,Total,2019,65.45899200439453
"Egypt, Arab Rep.",Total,15 to 24 years old,Total,2017,92.1701431274414
"Egypt, Arab Rep.",Total,60 years old and over,Total,2017,37.01283645629883
"Egypt, Arab Rep.",Total,15 to 29 years old,Total,2019,91.54061889648438
"Egypt, Arab Rep.",Total,25 years old and over,Total,2019,65.81874084472656
"Egypt, Arab Rep.",Total,All age ranges or no breakdown by age,Urban area,2019,68.15877532958984
"Egypt, Arab Rep.",Male,All age ranges or no breakdown by age,Total,2017,64.39073181152344
"Egypt, Arab Rep.",Female,All age ranges or no breakdown by age,Total,2017,55.35931015014648
"Egypt, Arab Rep.",Total,15 to 29 years old,Total,2017,90.6882553100586
Argentina,Total,15 to 29 years old,Total,2018,97.27330780029295
Argentina,Female,All age ranges or no breakdown by age,Total,2018,77.64340209960938
Argentina,Total,All age ranges or no breakdown by age,Urban area,2018,76.45407104492188
Argentina,Female,All age ranges or no breakdown by age,Total,2021,77.40447998046875
Argentina,Total,25 years old and over,Total,2021,94.06531524658205
Argentina,Total,60 years old and over,Total,2021,88.06513214111328
Argentina,Male,All age ranges or no breakdown by age,Total,2021,75.58151245117188
Argentina,Total,15 to 24 years old,Total,2021,97.622314453125
Argentina,Total,15 to 29 years old,Total,2021,97.49506378173828
Argentina,Total,All age ranges or no breakdown by age,Urban area,2021,76.51880645751953
Argentina,Total,60 years old and over,Total,2018,86.35426330566406
Argentina,Total,25 years old and over,Total,2018,92.93257904052734
Argentina,Total,All age ranges or no breakdown by age,Total,2021,76.51880645751953
Argentina,Male,All age ranges or no breakdown by age,Total,2018,75.16197204589844
Argentina,Total,30 to 59 years old,Total,2021,95.998291015625
Argentina,Total,15 to 24 years old,Total,2018,97.43118286132812
Argentina,Total,30 to 59 years old,Total,2018,95.30679321289062
Argentina,Total,All age ranges or no breakdown by age,Total,2018,76.45407104492188
Armenia,Total,30 to 59 years old,Total,2018,99.79539489746094
Armenia,Total,All age ranges or no breakdown by age,Urban area,2018,94.0445327758789
Armenia,Total,25 years old and over,Total,2021,99.79141235351562
Armenia,Total,60 years old and over,Total,2018,99.37020874023438
Armenia,Total,All age ranges or no breakdown by age,Urban area,2021,93.79047393798828
Armenia,Female,All age ranges or no breakdown by age,Total,2021,94.75987243652344
Armenia,Total,All age ranges or no breakdown by age,Rural area,2018,94.0097427368164
Armenia,Total,All age ranges or no breakdown by age,Rural area,2021,93.11487579345705
Armenia,Total,All age ranges or no breakdown by age,Total,2021,93.51140594482422
Armenia,Male,All age ranges or no breakdown by age,Total,2018,93.57098388671876
Armenia,Total,60 years old and over,Total,2021,99.8733139038086
Armenia,Total,All age ranges or no breakdown by age,Total,2018,94.03101348876952
Armenia,Female,All age ranges or no breakdown by age,Total,2018,94.44393157958984
Armenia,Total,15 to 29 years old,Total,2018,99.77401733398438
Armenia,Total,15 to 24 years old,Total,2021,99.7071304321289
Armenia,Total,25 years old and over,Total,2018,99.66107940673828
Armenia,Total,15 to 29 years old,Total,2021,99.75617218017578
Armenia,Male,All age ranges or no breakdown by age,Total,2021,91.96168518066406
Armenia,Total,15 to 24 years old,Total,2018,99.7914581298828
Armenia,Total,30 to 59 years old,Total,2021,99.73745727539062
Bangladesh,Total,15 to 29 years old,Total,2016,88.6787338256836
Bangladesh,Male,All age ranges or no breakdown by age,Total,2016,65.5042953491211
Bangladesh,Total,15 to 24 years old,Total,2016,89.71490478515625
Bangladesh,Total,30 to 59 years old,Total,2016,78.79029846191406
Bangladesh,Total,60 years old and over,Total,2016,71.58210754394531
Bangladesh,Total,All age ranges or no breakdown by age,Total,2016,66.49495697021484
Bangladesh,Total,All age ranges or no breakdown by age,Rural area,2016,63.861572265625
Bangladesh,Total,All age ranges or no breakdown by age,Urban area,2016,72.9148178100586
Bangladesh,Total,25 years old and over,Total,2016,80.12824249267578
Bangladesh,Female,All age ranges or no breakdown by age,Total,2016,67.51920318603516
Belarus,Total,15 to 24 years old,Total,2018,85.2798080444336
Belarus,Total,25 years old and over,Total,2018,98.8686752319336
Belarus,Total,15 to 29 years old,Total,2018,90.86367797851562
Belarus,Male,All age ranges or no breakdown by age,Total,2018,97.8189697265625
Belarus,Total,All age ranges or no breakdown by age,Total,2018,97.41012573242188
Belarus,Total,30 to 59 years old,Total,2018,99.80728912353516
Belarus,Total,60 years old and over,Total,2018,96.74107360839844
Belarus,Total,All age ranges or no breakdown by age,Urban area,2018,97.6159210205078
Belarus,Total,All age ranges or no breakdown by age,Rural area,2018,96.82736206054688
Belarus,Female,All age ranges or no breakdown by age,Total,2018,97.11744689941406
Benin,Total,All age ranges or no breakdown by age,Rural area,2018,15.612508773803713
Benin,Total,60 years old and over,Total,2018,11.113829612731934
Benin,Total,15 to 29 years old,Total,2018,46.538516998291016
Benin,Female,All age ranges or no breakdown by age,Total,2018,17.41086769104004
Benin,Total,30 to 59 years old,Total,2018,21.01798439025879
Benin,Male,All age ranges or no breakdown by age,Total,2018,26.57032012939453
Benin,Total,All age ranges or no breakdown by age,Urban area,2018,29.64227867126465
Benin,Total,All age ranges or no breakdown by age,Total,2018,21.89683151245117
Benin,Total,25 years old and over,Total,2018,22.643648147583008
Benin,Total,15 to 24 years old,Total,2018,51.10226440429688
Bhutan,Total,All age ranges or no breakdown by age,Rural area,2017,34.00482940673828
Bhutan,Total,15 to 29 years old,Total,2017,73.33903503417969
Bhutan,Total,All age ranges or no breakdown by age,Urban area,2017,56.570499420166016
Bhutan,Total,25 years old and over,Total,2017,54.4300422668457
Bhutan,Male,All age ranges or no breakdown by age,Total,2017,42.04310607910156
Bhutan,Total,30 to 59 years old,Total,2017,47.94572830200195
Bhutan,Total,60 years old and over,Total,2017,24.38928985595703
Bhutan,Total,All age ranges or no breakdown by age,Total,2017,43.45356369018555
Bhutan,Total,15 to 24 years old,Total,2017,73.92385864257812
Bhutan,Female,All age ranges or no breakdown by age,Total,2017,45.05708694458008
Bolivia,Total,15 to 29 years old,Total,2018,92.7732391357422
Bolivia,Male,All age ranges or no breakdown by age,Total,2021,62.25886535644531
Bolivia,Total,All age ranges or no breakdown by age,Total,2021,59.74923324584961
Bolivia,Total,25 years old and over,Total,2021,63.71335220336914
Bolivia,Total,25 years old and over,Total,2018,59.11373519897461
Bolivia,Male,All age ranges or no breakdown by age,Total,2018,59.9057846069336
Bolivia,Total,15 to 24 years old,Total,2021,98.1533203125
Bolivia,Total,30 to 59 years old,Total,2021,67.62185668945312
Bolivia,Total,All age ranges or no breakdown by age,Rural area,2021,42.77660369873047
Bolivia,Total,60 years old and over,Total,2018,30.951045989990234
Bolivia,Total,15 to 29 years old,Total,2021,95.422119140625
Bolivia,Total,15 to 24 years old,Total,2018,95.1227035522461
Bolivia,Female,All age ranges or no breakdown by age,Total,2021,57.306678771972656
Bolivia,Total,All age ranges or no breakdown by age,Urban area,2021,66.83467102050781
Bolivia,Total,All age ranges or no breakdown by age,Rural area,2018,36.26420974731445
Bolivia,Total,All age ranges or no breakdown by age,Total,2018,56.563758850097656
Bolivia,Total,30 to 59 years old,Total,2018,63.03386688232422
Bolivia,Total,All age ranges or no breakdown by age,Urban area,2018,65.47472381591797
Bolivia,Female,All age ranges or no breakdown by age,Total,2018,53.345985412597656
Bolivia,Total,60 years old and over,Total,2021,33.800392150878906
Botswana,Total,All age ranges or no breakdown by age,Total,2015,59.06944274902344
Botswana,Total,15 to 24 years old,Total,2015,94.4611587524414
Botswana,Total,25 years old and over,Total,2015,73.89293670654297
Botswana,Total,60 years old and over,Total,2015,23.267549514770508
Botswana,Female,All age ranges or no breakdown by age,Total,2015,60.81602478027344
Botswana,Total,15 to 29 years old,Total,2015,94.24783325195312
Botswana,Total,All age ranges or no breakdown by age,Urban area,2015,66.6519546508789
Botswana,Total,All age ranges or no breakdown by age,Rural area,2015,44.878265380859375
Botswana,Male,All age ranges or no breakdown by age,Total,2015,57.08522033691406
Botswana,Total,30 to 59 years old,Total,2015,79.90596008300781
Brazil,Female,All age ranges or no breakdown by age,Total,2018,53.97234725952149
Brazil,Male,All age ranges or no breakdown by age,Total,2018,49.74026107788086
Brazil,Total,15 to 29 years old,Total,2021,85.88075256347656
Brazil,Total,All age ranges or no breakdown by age,Rural area,2021,34.656211853027344
Brazil,Total,All age ranges or no breakdown by age,Urban area,2018,55.65645217895508
Brazil,Total,15 to 24 years old,Total,2021,84.6687240600586
Brazil,Total,30 to 59 years old,Total,2018,66.04174041748047
Brazil,Total,15 to 24 years old,Total,2018,81.8609619140625
Brazil,Total,25 years old and over,Total,2018,60.52092361450195
Brazil,Male,All age ranges or no breakdown by age,Total,2021,53.85688400268555
Brazil,Total,30 to 59 years old,Total,2021,71.47930908203125
Brazil,Total,15 to 29 years old,Total,2018,82.80778503417969
Brazil,Total,All age ranges or no breakdown by age,Total,2021,55.49864196777344
Brazil,Total,25 years old and over,Total,2021,66.26134490966797
Brazil,Total,All age ranges or no breakdown by age,Total,2018,51.92927551269531
Brazil,Total,60 years old and over,Total,2021,39.62741470336914
Brazil,Female,All age ranges or no breakdown by age,Total,2021,57.0688362121582
Brazil,Total,All age ranges or no breakdown by age,Urban area,2021,58.87701416015625
Brazil,Total,All age ranges or no breakdown by age,Rural area,2018,29.76586532592773
Brazil,Total,60 years old and over,Total,2018,34.16089630126953
Burkina Faso,Male,All age ranges or no breakdown by age,Total,2018,17.085529327392578
Burkina Faso,Total,15 to 24 years old,Total,2018,39.77266693115234
Burkina Faso,Total,30 to 59 years old,Total,2018,14.384639739990234
Burkina Faso,Total,All age ranges or no breakdown by age,Urban area,2018,37.380279541015625
Burkina Faso,Female,All age ranges or no breakdown by age,Total,2018,13.809248924255373
Burkina Faso,Total,25 years old and over,Total,2018,15.153725624084473
Burkina Faso,Total,All age ranges or no breakdown by age,Rural area,2018,7.564021587371826
Burkina Faso,Total,15 to 29 years old,Total,2018,35.89362335205078
Burkina Faso,Total,All age ranges or no breakdown by age,Total,2018,15.383524894714355
Burkina Faso,Total,60 years old and over,Total,2018,5.247073650360107
Cabo Verde,Total,All age ranges or no breakdown by age,Rural area,2015,42.57471084594727
Cabo Verde,Total,All age ranges or no breakdown by age,Total,2015,51.51387405395508
Cabo Verde,Total,15 to 29 years old,Total,2015,90.9843292236328
Cabo Verde,Total,30 to 59 years old,Total,2015,52.50541687011719
Cabo Verde,Total,25 years old and over,Total,2015,51.15237808227539
Cabo Verde,Total,All age ranges or no breakdown by age,Urban area,2015,56.505279541015625
Cabo Verde,Total,15 to 24 years old,Total,2015,92.26358795166016
Cabo Verde,Female,All age ranges or no breakdown by age,Total,2015,49.563594818115234
Cabo Verde,Male,All age ranges or no breakdown by age,Total,2015,53.66508483886719
Cabo Verde,Total,60 years old and over,Total,2015,10.83975315093994
Chad,Total,15 to 29 years old,Total,2018,26.431808471679688
Chad,Female,All age ranges or no breakdown by age,Total,2018,7.372706413269043
Chad,Total,25 years old and over,Total,2018,13.896322250366213
Chad,Total,All age ranges or no breakdown by age,Urban area,2018,24.146223068237305
Chad,Total,All age ranges or no breakdown by age,Rural area,2018,6.098074913024902
Chad,Male,All age ranges or no breakdown by age,Total,2018,14.093403816223145
Chad,Total,30 to 59 years old,Total,2018,13.678622245788574
Chad,Total,60 years old and over,Total,2018,4.138615131378174
Chad,Total,15 to 24 years old,Total,2018,28.33883476257324
Chad,Total,All age ranges or no breakdown by age,Total,2018,10.57673168182373
Chile,Female,All age ranges or no breakdown by age,Total,2017,70.3099594116211
Chile,Total,15 to 24 years old,Total,2017,95.5835418701172
Chile,Total,30 to 59 years old,Total,2017,88.48802185058594
Chile,Male,All age ranges or no breakdown by age,Total,2017,69.0246353149414
Chile,Total,15 to 29 years old,Total,2017,96.2226333618164
Chile,Total,All age ranges or no breakdown by age,Rural area,2020,61.060203552246094
Chile,Total,30 to 59 years old,Total,2020,91.53814697265624
Chile,Total,15 to 24 years old,Total,2020,96.52002716064452
Chile,Total,25 years old and over,Total,2017,83.54041290283203
Chile,Female,All age ranges or no breakdown by age,Total,2020,72.58351135253906
Chile,Total,60 years old and over,Total,2020,68.995849609375
Chile,Male,All age ranges or no breakdown by age,Total,2020,70.5844497680664
Chile,Total,All age ranges or no breakdown by age,Urban area,2020,73.02436065673828
Chile,Total,All age ranges or no breakdown by age,Rural area,2017,56.33169555664063
Chile,Total,15 to 29 years old,Total,2020,96.96077728271484
Chile,Total,60 years old and over,Total,2017,67.97789001464844
Chile,Total,All age ranges or no breakdown by age,Total,2017,69.69788360595703
Chile,Total,All age ranges or no breakdown by age,Total,2020,71.6640625
Chile,Total,All age ranges or no breakdown by age,Urban area,2017,71.63433074951172
Chile,Total,25 years old and over,Total,2020,85.56944274902344
Colombia,Male,All age ranges or no breakdown by age,Total,2021,74.27876281738281
Colombia,Male,All age ranges or no breakdown by age,Total,2018,72.24597930908203
Colombia,Total,15 to 24 years old,Total,2018,96.43299102783205
Colombia,Total,All age ranges or no breakdown by age,Urban area,2018,78.32402801513672
Colombia,Total,60 years old and over,Total,2021,60.32757568359375
Colombia,Female,All age ranges or no breakdown by age,Total,2021,76.51576232910156
Colombia,Total,All age ranges or no breakdown by age,Total,2021,75.41441345214844
Colombia,Total,15 to 24 years old,Total,2021,97.41211700439452
Colombia,Total,All age ranges or no breakdown by age,Rural area,2018,55.97039031982422
Colombia,Total,All age ranges or no breakdown by age,Rural area,2021,60.88775253295898
Colombia,Total,60 years old and over,Total,2018,55.63564300537109
Colombia,Total,30 to 59 years old,Total,2018,83.48027801513672
Colombia,Total,30 to 59 years old,Total,2021,86.35899353027344
Colombia,Total,15 to 29 years old,Total,2021,96.89484405517578
Colombia,Total,15 to 29 years old,Total,2018,95.58360290527344
Colombia,Total,All age ranges or no breakdown by age,Urban area,2021,79.46912384033203
Colombia,Total,25 years old and over,Total,2018,78.93624114990234
Colombia,Female,All age ranges or no breakdown by age,Total,2018,74.42369842529297
Colombia,Total,25 years old and over,Total,2021,81.71306610107422
Colombia,Total,All age ranges or no breakdown by age,Total,2018,73.3508529663086
Costa Rica,Total,60 years old and over,Total,2018,64.62911224365234
Costa Rica,Total,All age ranges or no breakdown by age,Total,2018,71.57623291015625
Costa Rica,Total,60 years old and over,Total,2021,71.23570251464844
Costa Rica,Male,All age ranges or no breakdown by age,Total,2018,71.0020751953125
Costa Rica,Total,All age ranges or no breakdown by age,Total,2021,74.79187774658203
Costa Rica,Male,All age ranges or no breakdown by age,Total,2021,74.4543228149414
Costa Rica,Female,All age ranges or no breakdown by age,Total,2021,75.1052474975586
Costa Rica,Total,All age ranges or no breakdown by age,Urban area,2018,74.73065185546875
Costa Rica,Total,30 to 59 years old,Total,2018,85.86676025390625
Costa Rica,Total,15 to 29 years old,Total,2021,97.27899932861328
Costa Rica,Total,15 to 24 years old,Total,2018,96.85814666748048
Costa Rica,Female,All age ranges or no breakdown by age,Total,2018,72.12041473388672
Costa Rica,Total,25 years old and over,Total,2021,83.95054626464844
Costa Rica,Total,All age ranges or no breakdown by age,Urban area,2021,77.9846420288086
Costa Rica,Total,All age ranges or no breakdown by age,Rural area,2018,63.33705139160156
Costa Rica,Total,15 to 24 years old,Total,2021,98.0014877319336
Costa Rica,Total,30 to 59 years old,Total,2021,87.6712417602539
Costa Rica,Total,15 to 29 years old,Total,2018,95.83368682861328
Costa Rica,Total,All age ranges or no breakdown by age,Rural area,2021,66.36620330810547
Costa Rica,Total,25 years old and over,Total,2018,81.39834594726562
Cote d'Ivoire,Total,25 years old and over,Total,2018,26.91098403930664
Cote d'Ivoire,Total,All age ranges or no breakdown by age,Urban area,2018,36.40640258789063
Cote d'Ivoire,Total,60 years old and over,Total,2018,17.347558975219727
Cote d'Ivoire,Male,All age ranges or no breakdown by age,Total,2018,28.87973403930664
Cote d'Ivoire,Total,15 to 29 years old,Total,2018,44.15904235839844
Cote d'Ivoire,Total,30 to 59 years old,Total,2018,26.45539665222168
Cote d'Ivoire,Female,All age ranges or no breakdown by age,Total,2018,20.125093460083008
Cote d'Ivoire,Total,All age ranges or no breakdown by age,Rural area,2018,11.823057174682615
Cote d'Ivoire,Total,15 to 24 years old,Total,2018,48.304325103759766
Cote d'Ivoire,Total,All age ranges or no breakdown by age,Total,2018,24.43253326416016
Djibouti,Total,25 years old and over,Total,2017,38.184547424316406
Djibouti,Total,All age ranges or no breakdown by age,Rural area,2017,14.97647190093994
Djibouti,Total,30 to 59 years old,Total,2017,32.84215545654297
Djibouti,Male,All age ranges or no breakdown by age,Total,2017,55.97875595092773
Djibouti,Total,All age ranges or no breakdown by age,Total,2017,47.74948501586914
Djibouti,Total,15 to 29 years old,Total,2017,69.7442626953125
Djibouti,Total,All age ranges or no breakdown by age,Urban area,2017,52.82935333251953
Djibouti,Female,All age ranges or no breakdown by age,Total,2017,39.8083610534668
Djibouti,Total,15 to 24 years old,Total,2017,74.58673095703125
Ecuador,Male,All age ranges or no breakdown by age,Total,2021,75.56342315673828
Ecuador,Total,All age ranges or no breakdown by age,Urban area,2021,78.81515502929688
Ecuador,Total,60 years old and over,Total,2018,60.92438507080078
Ecuador,Total,All age ranges or no breakdown by age,Total,2018,73.0071792602539
Ecuador,Total,15 to 29 years old,Total,2018,96.27547454833984
Ecuador,Female,All age ranges or no breakdown by age,Total,2018,72.15095520019531
Ecuador,Total,15 to 24 years old,Total,2018,96.64460754394533
Ecuador,Total,All age ranges or no breakdown by age,Total,2021,75.5996322631836
Ecuador,Total,30 to 59 years old,Total,2018,87.64622497558594
Ecuador,Total,15 to 29 years old,Total,2021,98.35364532470705
Ecuador,Total,All age ranges or no breakdown by age,Rural area,2018,62.91032409667969
Ecuador,Total,30 to 59 years old,Total,2021,90.10275268554688
Ecuador,Total,60 years old and over,Total,2021,63.412071228027344
Ecuador,Total,All age ranges or no breakdown by age,Urban area,2018,77.70368957519531
Ecuador,Male,All age ranges or no breakdown by age,Total,2018,73.8988037109375
Ecuador,Total,25 years old and over,Total,2021,84.74073791503906
Ecuador,Total,15 to 24 years old,Total,2021,98.88655090332033
Ecuador,Total,All age ranges or no breakdown by age,Rural area,2021,68.63140106201172
Ecuador,Female,All age ranges or no breakdown by age,Total,2021,75.63489532470703
Ecuador,Total,25 years old and over,Total,2018,82.33875274658203
Ethiopia,Female,All age ranges or no breakdown by age,Total,2015,12.403470039367676
Ethiopia,Male,All age ranges or no breakdown by age,Total,2015,16.3889217376709
Ethiopia,Total,25 years old and over,Total,2015,15.622541427612305
Ethiopia,Total,All age ranges or no breakdown by age,Total,2015,14.361159324645996
Ethiopia,Total,15 to 29 years old,Total,2015,32.43719482421875
Ethiopia,Total,60 years old and over,Total,2015,3.081717014312744
Ethiopia,Total,All age ranges or no breakdown by age,Urban area,2015,42.959999084472656
Ethiopia,Total,All age ranges or no breakdown by age,Rural area,2015,7.287878513336182
Ethiopia,Total,15 to 24 years old,Total,2015,33.02957534790039
Ethiopia,Total,30 to 59 years old,Total,2015,13.705560684204102
North Macedonia,Male,All age ranges or no breakdown by age,Total,2020,97.14422607421876
North Macedonia,Total,15 to 24 years old,Total,2018,87.02151489257812
North Macedonia,Total,15 to 24 years old,Total,2020,89.1353988647461
North Macedonia,Total,All age ranges or no breakdown by age,Urban area,2020,96.83438873291016
North Macedonia,Total,All age ranges or no breakdown by age,Rural area,2018,95.47643280029295
North Macedonia,Total,All age ranges or no breakdown by age,Total,2020,96.29583740234376
North Macedonia,Total,All age ranges or no breakdown by age,Urban area,2018,97.06961822509766
North Macedonia,Total,30 to 59 years old,Total,2018,99.05259704589844
North Macedonia,Total,25 years old and over,Total,2020,97.33291625976562
North Macedonia,Male,All age ranges or no breakdown by age,Total,2018,97.02011108398438
North Macedonia,Total,15 to 29 years old,Total,2018,91.7513427734375
North Macedonia,Total,All age ranges or no breakdown by age,Total,2018,96.31741333007812
North Macedonia,Total,All age ranges or no breakdown by age,Rural area,2020,95.67073059082033
North Macedonia,Total,60 years old and over,Total,2018,94.7207489013672
North Macedonia,Total,15 to 29 years old,Total,2020,93.10145568847656
North Macedonia,Total,30 to 59 years old,Total,2020,98.54914855957033
North Macedonia,Female,All age ranges or no breakdown by age,Total,2018,95.61904907226562
North Macedonia,Total,60 years old and over,Total,2020,94.40660095214844
North Macedonia,Female,All age ranges or no breakdown by age,Total,2020,95.4531478881836
North Macedonia,Total,25 years old and over,Total,2018,97.80525970458984
Gabon,Total,15 to 29 years old,Total,2017,82.64446258544922
Gabon,Total,All age ranges or no breakdown by age,Rural area,2017,47.68365478515625
Gabon,Female,All age ranges or no breakdown by age,Total,2017,57.57248306274414
Gabon,Male,All age ranges or no breakdown by age,Total,2017,58.14111709594727
Gabon,Total,All age ranges or no breakdown by age,Total,2017,57.84570693969727
